watch time,stream time,peak viewers,average viewers,followers,followers gained,views gained,partnered,mature,top count
7333609065,215670,222720,32913,3691010,2051895,109735389,TRUE,FALSE,1
6314532585,515595,387315,12254,1966465,1141123,112807468,TRUE,TRUE,2
6235007490,216000,310998,25931,5374710,1402547,91501875,TRUE,FALSE,3
4764929775,517965,300575,9249,4195657,870484,126008641,TRUE,FALSE,4
3853252845,131880,163241,29183,4415637,1337535,49164651,TRUE,FALSE,5
3644124975,161595,68795,19768,533400,437036,684835748,TRUE,FALSE,6
3503191680,131115,105499,25985,3719080,1066209,59364698,TRUE,FALSE,7
3278317200,63285,240096,49771,6579492,4309441,74460362,TRUE,FALSE,8
3276339360,130680,190173,25269,9184421,2023733,70427346,TRUE,FALSE,9
3268219170,47385,191742,64477,5053692,4681567,57146179,TRUE,FALSE,10
3183232095,106455,335403,29316,5639554,1550318,53274797,TRUE,TRUE,11
3081007830,131895,89170,23015,2713642,235124,52941891,TRUE,FALSE,12
2858427090,88800,125408,13014,2588882,1488662,36126098,TRUE,FALSE,13
2808614685,72000,122081,38534,1687230,440141,44506116,TRUE,FALSE,14
2730387960,78330,639375,20015,4895737,618212,52358442,TRUE,FALSE,15
2582360895,78180,173238,30604,3044081,2759124,73557439,TRUE,FALSE,16
2464064160,129120,91028,18880,2852112,229564,37078409,TRUE,TRUE,17
2328239025,106035,139777,21517,3857581,1625893,53496103,TRUE,FALSE,18
2271646785,49470,208341,45406,724511,294841,86113714,TRUE,FALSE,19
2264752020,176520,33572,12944,505622,85565,35408484,TRUE,FALSE,20
2246713830,66375,538444,30996,4475337,3856926,58501479,TRUE,FALSE,21
2164120365,184125,46165,11553,1285004,124993,39733008,TRUE,FALSE,22
2071889070,88905,234826,7953,1752109,159613,48902643,TRUE,FALSE,23
1999251600,59640,147455,31881,3027560,1050148,31640377,TRUE,TRUE,24
1912132740,57570,388794,28581,1107511,678235,33667372,TRUE,FALSE,25
1895050140,102990,125133,17420,2515123,561599,21819604,TRUE,FALSE,26
1893707610,57780,288459,25673,1321214,896361,25386456,TRUE,TRUE,27
1868846880,110205,364816,17276,608917,568052,61473607,TRUE,FALSE,28
